name,total
"Jessie MohrMcKenzie",6
"Tabitha CorkeryLynch",8
"Kristy LockmanWuckert",10
"Alice LuettgenKertzmann",12
"Mrs. Jose SchimmelMedhurst",6
"Curtis NolanKlein",6
"Jo SkilesPowlowski",3
"Shirley SchowalterHomenick",5
"Ms. Johanna LakinHeathcote",8
"Kathy KuhlmanSmitham",4
"Dr. Iris BergeLubowitz",12
"Dr. Eula KerlukeStroman",5
"Candace LehnerCollier",4
"Lula O'ConnellFadel",5
"Ms. Lana FadelHodkiewicz",6
"Cecil Volkman IIIAnderson",4
"Myron MosciskiArmstrong",7
"Benny MooreKerluke",9
"Arnold ChamplinMetz",7
"Maria MertzJacobson",6
"Edmund Torphy VKlein",7
"Angel BergstromRussel",9
"Dallas TorpRowe",8
"Otis SchmidtWeber",9
"Eugene RiceMills",10
"Cornelius LeannonO'Hara",6
"Bob HartmannHammes",7
"Nathan PfannerstillGerhold",7
"Clint D'AmoreHeller",3
"Jesse KrisO'Kon",5
"Cory GloverSchowalter",8
"Reginald JacobiPacocha",7
"Shaun CrooksLind",5
"Eduardo JonesMills",8
"Lindsay KeeblerMaggio",4
"Miss Ivan BeierShanahan",6
"Rachael MrazWitting",4
"Cary LednerSpinka",8
"Ollie MacGyverFadel",11
"Estelle SipesSchroeder",6
"Leslie Weissnat IVLittel",8
"Mrs. Wilson BorerHerman",6
"Marcus FunkKshlerin",4
"Dwight KossYundt",5
"Phyllis HeidenreichMorar",2
"Shirley MuellerNitzsche",6
"Felipe WindlerUllrich",11
"Mable SchimmelBayer",8
"Katie LarsonDaniel",7
"Tami HoweCrooks",5
"Casey MannHessel",7
"Anita PfannerstillGoyette",8
"Ernest VolkmanTremblay",8
"Sonja KundeReichel",8
"Ignacio BuckridgeJacobi",7
"Paulette LockmanWill",5
"Mr. Percy HoegerHeathcote",8
"Kristie LindgrenMohr",5
"Denise MuellerFeest",4
"Phil VonHuel",7
"Simon CrooksRyan",8
"Terry Johnston IMacejkovic",8
"Luz Ward IVRodriguez",9
"Jacob Rohan DDSKonopelski",10
"Irma HalvorsonChamplin",4
"Dr. Wm SchaeferGrant",13
"Blanca Cruickshank PhDWolff",8
"Calvin GutmannShields",3
"Agnes NikolausTrantow",9
"Cindy RueckerSteuber",4
"Mr. Arlene SipesBreitenberg",7
"Ervin HamillCorwin",6
"Estelle VonRuedenKshlerin",5
"Miss Danielle LynchHackett",13
"Dwight Berge PhDBartoletti",4
"Sherry BednarWhite",10
"Rebecca DibbertHuel",7
"Megan WeimannKlein",7
"Beatrice Crist VHirthe",4
"Jennie HillsJohns",7
"Nicole ReichertBraun",15
"Ervin StehrMcGlynn",5
"Pete MoenMcKenzie",7
"Jake KovacekJacobs",5
"Jane EmmerichRolfson",3
"Freddie ChamplinGoodwin",7
"May BeattyHilpert",9
"Christian BlockThompson",4
"Dr. Ora HoegerNikolaus",10
"Vicky LarkinSpinka",5
"Douglas Lesch IVWaelchi",5
"Alfonso ThielMarvin",7
"Mattie HeaneyRomaguera",3
"Lynda HintzRomaguera",10
"Salvatore CummingsHackett",9
"Ms. Clark DooleyFrami",7
"Sophie JohnsonWeissnat",13
"Glen JohnstonWaelchi",3
"Carol Wunsch IVJacobs",11
"Sheri WintheiserO'Keefe",8
"Freda KulasSchultz",9
"Jacquelyn HellerRolfson",10
"Thomas RodriguezHane",8
"Yolanda KshlerinRussel",7
"Gabriel SchummAuer",5
"Stella CasperKoch",8
"Jared UptonOkuneva",9
"Lori McGlynnJast",3
"Eunice Pollich DVMFerry",8
"Wayne RogahnBailey",5
"Dora NienowKuhic",9
"Clarence AndersonCummings",9
"Jeffrey HauckCrona",1
"Levi HarveyKirlin",8
"Johnathan FramiKulas",9
"Sylvia Glover PhDBeahan",8
"Ella MedhurstHamill",8
"Billie SchneiderFlatley",6
"William GreenLarkin",7
"Willie JacobsSchroeder",7
"Mabel RobertsBecker",6
"Doreen WeissnatDeckow",7
"Melinda FarrellBrown",5
"Minnie StammTorp",3
"Karl MitchellKing",14
"Jeremiah TrantowLittel",8
"Dolores TerryGerhold",5
"Loretta LockmanArmstrong",12
